"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"MST_R",0.186235916011441,0.313994734938787,0.00351121293012759,0.015342362713745,0.0253476493275172,0
"V6_R",0.524998246909888,0.688523082532973,0.0131065286429599,0.0118583711830952,0.034255724410662,0
"V2_R",0.526886240441787,0.690144722621036,0.00994402230560508,0.00892916424272298,0.0300680384607733,0
"V3_R",0.605727422172436,0.7544585884358,0.0108865036979508,0.00708610790828361,0.0303265086193146,0
"V4_R",0.474467429496566,0.643578040457043,0.0055033118482315,0.00609561255859403,0.0187772000707991,0
"V8_R",0.30179313856643,0.463657596012179,0.00542060143489041,0.0125407129297741,0.0240263146438429,0
"X4_R",0.292082357188676,0.452111052462928,0.00741315136141429,0.0179671948969721,0.0380570489558641,0
"X3b_R",0.271166004484842,0.426641372610866,0.00568907948581016,0.0152909821432949,0.0313443686168152,0
"FEF_R",0.404849321370856,0.576359777824148,0.0079086601791823,0.0116261636718319,0.0240259809353044,0
"PEF_R",0.496476765021694,0.663527528961663,0.0105368270697056,0.0106863757306212,0.0342151450407291,0
"X55b_R",0.218617042256219,0.358795314156216,0.00361084781515135,0.0129059240608465,0.0225458869502883,0
"V3A_R",0.47554341047865,0.644567156888172,0.0105804205823724,0.0116686955850094,0.03345943603947,0
"RSC_R",0.545087061049367,0.705574559247378,0.00648373663247154,0.00541112768514675,0.0129583540131417,0
"POS2_R",0.529450721898503,0.692341001011523,0.00936613800661737,0.00832415425142754,0.0195565860372489,0
"V7_R",0.199767745934751,0.333010695797811,0.00311652226437915,0.0124842057199927,0.0263629276992225,0
"IPS1_R",0.271357619215694,0.42687850391473,0.00332402584742666,0.00892558725366888,0.0218845578349062,0
"FFC_R",0.176482448088615,0.300017137315289,0.00213108574273416,0.00994425526604483,0.0180068787757511,0
"V3B_R",0.403376013297306,0.574865195749716,0.00597121624211712,0.00883188569075878,0.0263100374203332,0
"LO1_R",0.482970077670321,0.651355121647559,0.00773382691420144,0.00827922911508038,0.019020212261186,0
"LO2_R",0.167218316120346,0.286524489567905,0.00261870495661639,0.0130416904915218,0.0222395484616857,0
"PIT_R",0.483290850395073,0.651646776175217,0.00850876188418691,0.009097120530577,0.0222174679216566,0
"MT_R",0.310788283397281,0.474200581945675,0.0065352222583468,0.0144926690987827,0.0289100160534403,0
"A1_R",0.273691822374426,0.429761450245016,0.00455523775660131,0.0120884372976336,0.0260787200612917,0
"PSL_R",0.659796613048287,0.795033087622155,0.0185970377339047,0.00958897802629394,0.0299122958451282,0
"SFL_R",0.152656698209859,0.264877996105768,0.00207831149081323,0.0115359715061644,0.0204538618774154,0
"PCV_R",0,0,0,0.0151599189988546,0.0213550548640776,0
"STV_R",0.320411508336,0.485320684215766,0.00767427964222084,0.0162770437109129,0.0315836669540849,0
"X7Pm_R",0.435432119204017,0.606691341761915,0.00851811232004003,0.0110443222004345,0.0216514967205692,0
"X7m_R",0.579553339445727,0.733819270261674,0.00629744906320762,0.00456858971974612,0.0109249779297007,0
"POS1_R",0.472293802558529,0.641575481385284,0.00644463288414071,0.00720075659424877,0.0136592421169203,0
"X23d_R",0.48338706112774,0.651734228772694,0.00891369847766638,0.0095263864862769,0.0206610284276458,0
"v23ab_R",0.67450674626861,0.805618427959933,0.00881986271636509,0.00425615581889318,0.0140357942215426,0
"d23ab_R",0.547167261256797,0.707314942551617,0.00500677213285883,0.00414357820308543,0.0119761746729485,0
"X31pv_R",0.579048001742668,0.733414058475258,0.00333766231824411,0.00242638886265847,0.00770727525902513,0
"X5m_R",0.422241849602706,0.593769406687979,0.0107662731628385,0.0147316095623547,0.0343046661121056,0
"X5mv_R",0.247321192155262,0.396563761941561,0.00332552616635421,0.0101206574678672,0.027746942278619,0
"X23c_R",0.134207298997193,0.236653915233754,0.00260692785708344,0.0168177075879527,0.0384172829659391,0
"X5L_R",0.177642225988421,0.301691332168939,0.0037950582770607,0.0175684337414871,0.0310220661454978,0
"X24dd_R",0.234800143108154,0.380304690469393,0.004752389210872,0.0154877569319817,0.0360230534568072,0
"X24dv_R",0.254943565891516,0.406302837546967,0.00343639598229202,0.010042649744064,0.0257192040845014,0
"X7AL_R",0.206854339036513,0.34279918022527,0.00359392239411951,0.0137802473277209,0.029246955348306,0
"SCEF_R",0.266317645840727,0.420617444154645,0.00440457638268914,0.012134231508859,0.0271650444835348,0
"X6ma_R",0.357321653617324,0.526509914087123,0.00789137776717964,0.0141934236639448,0.0338410908364479,0
"X7Am_R",0.196845614705774,0.328940695921195,0.00376111196560578,0.0153458006838202,0.0311564865587535,0
"X7Pl_R",0.331307950869412,0.497717978252967,0.00719362323847014,0.0145191766493465,0.0276719808654843,0
"X7PC_R",0.24155781777784,0.389120529578211,0.00332848724560061,0.0104507697298942,0.0259088549864273,0
"LIPv_R",0.441561303011483,0.612615366532166,0.00832102356593425,0.0105235253317708,0.0276439761660245,0
"VIP_R",0.408597010658272,0.580147490824681,0.00565394289996173,0.00818351247165962,0.0257590822838704,0
"MIP_R",0.551486104290111,0.710913365920793,0.0117498149609809,0.00955591671489804,0.0319613152283409,0
"X1_R",0.321967946729514,0.487104014172276,0.00890324388464129,0.0187493345011224,0.039392251283951,0
"X2_R",0.159439549437817,0.275028654171967,0.00306840954175567,0.0161765616876216,0.0303624580466936,0
"X3a_R",0.262254365569195,0.415533307267962,0.00556624112478391,0.0156583478833074,0.0326101457330307,0
"X6d_R",0.290083300835426,0.449712511816215,0.00498575695360903,0.0122015714422355,0.030260470834524,0
"X6mp_R",0.0939028754008965,0.171684118421359,0.00153005497885893,0.0147639612834409,0.0282047916782,0
"X6v_R",0.141586420070182,0.248052039829762,0.00226184765755336,0.0137131848097708,0.0304174995661383,0
"p24pr_R",0.217386332891137,0.357136148185386,0.00411981024044504,0.0148317502631684,0.0264654228202528,0
"X33pr_R",0.202478835248903,0.336769062894968,0.00405036330713711,0.0159535215540044,0.0241308582553474,0
"a24pr_R",0.465662912586627,0.635429754806058,0.00998578518103658,0.0114584503617262,0.0365392227158856,0
"p32pr_R",0.350304761392736,0.518852886264614,0.00724030463881787,0.0134282829362753,0.0372353455920344,0
"a24_R",0.494103560089476,0.661404702174575,0.00652468534963158,0.00668041146944425,0.0154804781280971,0
"d32_R",0.335193903478867,0.50209022465653,0.00507288585095946,0.0100612970751309,0.0163625447660083,0
"X8BM_R",0.574302842236958,0.729596398899871,0.0107211611238924,0.0079469706271757,0.0244577067886084,0
"p32_R",0.791292188356681,0.88348756668515,0.0205115600199978,0.00541004052378522,0.0245989666099696,0
"X10r_R",0.671033380671574,0.803135818150912,0.00842100205723536,0.00412830219467469,0.0145086370938059,0
"X47m_R",0.744839621668733,0.853762847219599,0.0189130029355252,0.00647904440636117,0.034766555409502,0
"X8Av_R",0.560875353190702,0.718667704047187,0.00802741687658183,0.00628488412027164,0.0172117167679788,0
"X8Ad_R",0.706521061363174,0.828025012241927,0.0129730670653152,0.00538883008787755,0.0203508169966585,0
"X9m_R",0.60360544032977,0.752810417262794,0.00933579043594821,0.006130919789274,0.0169864099522222,0
"X8BL_R",0.485575563229688,0.6537204505088,0.00683987393711689,0.00724624252974798,0.0183334438981586,0
"X9p_R",0.469319377971716,0.638825547403554,0.00755008475608887,0.00853722190641994,0.0223429640364629,0
"X10d_R",0.457746676206876,0.628019509395081,0.00743262204854236,0.00880479142681671,0.0176608084759789,0
"X8C_R",0.563345095021176,0.72069192760482,0.00972166465723751,0.00753536792040848,0.0199516747443319,0
"X44_R",0.416650204917635,0.588218889139058,0.00622658501844203,0.00871780945190974,0.0223418624853704,0
