delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
-5.02095426147361,0.22497526564143,3.09681533144764,-4.73654761746624,-1.68098549471296,3.48262318189334,47,30min_10min_cpac_default_all,30min_10min
-4.54555028842965,-0.1957376767984,3.18462744904645,-4.12983715251222,-1.90913219984658,3.57460979433145,48,30min_10min_cpac_default_all,30min_10min
-4.86979590945464,-0.90504568044383,3.32534499716415,-4.45495105792133,-2.16504756413267,3.59396701584292,49,30min_10min_cpac_default_all,30min_10min
-4.55695007063898,0.00603235631241983,3.1402688838106,-4.28880685744392,-1.54011885098563,3.4863529795046,50,30min_10min_cpac_default_all,30min_10min
-4.13268308660138,-0.77986526339643,3.32810613053912,-3.73722706496881,-1.92883207879745,3.61804754133624,51,30min_10min_cpac_default_all,30min_10min
-4.2886380843585,-0.33330105755385,3.21915397490365,-4.03019428896263,-1.5036755656689,3.49869872552873,52,30min_10min_cpac_default_all,30min_10min
-3.9783680867717,-0.91887001683902,3.3685788515186,-3.78758442297378,-1.52510294096353,3.52438871042823,53,30min_10min_cpac_default_all,30min_10min
-3.12016876189684,-1.58752759972955,3.6122518215855,-3.03136138266646,-1.75115537583004,3.66543832895977,54,30min_10min_cpac_default_all,30min_10min
-8.99669925847139,-0.79653577354793,3.22989884411748,-8.19145937987365,-3.80461036294142,3.57640675407365,55,30min_10min_cpac_default_all,30min_10min
-7.63910813817497,-1.7938515164719,3.37223851153336,-6.70703390941695,-4.07302989773102,3.68734598397995,56,30min_10min_cpac_default_all,30min_10min
-7.27625082018225,-1.68244504430952,3.36882339364755,-6.39410024686621,-3.85874712288198,3.68457111978788,57,30min_10min_cpac_default_all,30min_10min
-9.40748528787661,-0.62795268609962,3.20824410355348,-8.10463316626937,-4.81767840954553,3.6779102664623,58,30min_10min_cpac_default_all,30min_10min
-8.16625455041791,1.2495528645123,2.98975614965152,-7.13029501935904,-4.17228818280039,3.67102105829606,59,30min_10min_cpac_default_all,30min_10min
-3.67425672371511,-0.48672211910027,3.27329405308261,-3.61957451477071,-0.797333822817982,3.35841369184759,60,30min_10min_cpac_default_all,30min_10min
-4.02336258195786,-0.70911161259601,3.31604946175117,-3.82043302852113,-1.44726542817895,3.5037102091706,61,30min_10min_cpac_default_all,30min_10min
-3.22419976736997,-0.76284465306103,3.37392003984208,-3.10454337851825,-1.15724090642823,3.49839558770837,62,30min_10min_cpac_default_all,30min_10min
-4.61633167963865,-0.99077976790155,3.35301026776266,-4.34708963071641,-1.84254564867098,3.54249502096385,63,30min_10min_cpac_default_all,30min_10min
-6.15851130137944,-1.59518153523599,3.39504314569873,-5.41633797362039,-3.33693699896985,3.69375714356972,64,30min_10min_cpac_default_all,30min_10min
-6.10573501885323,-1.95016061134485,3.45074957867536,-5.38031110303422,-3.48358708303068,3.71618687275713,65,30min_10min_cpac_default_all,30min_10min
-4.23144189522553,-0.34245918837949,3.22234867477237,-3.96887716735008,-1.50678227984755,3.50443336437074,66,30min_10min_cpac_default_all,30min_10min
-3.4790909423988,-0.42170061207549,3.26221423137344,-3.20147712606405,-1.42563999768346,3.56053698478075,67,30min_10min_cpac_default_all,30min_10min
